ActivityId,AdvertisedTrainIdent,AdvertisedTimeAtLocation,EstimatedTimeAtLocation,TimeAtLocation,DelayMinutes,DelayStatus,IsCanceled,IsReplaced,DeviationDescription,FromLocation,TrackAtLocation,ProductDescription,OperationalTrainNumber,LastUpdated,DataFreshness
1500adde-8c5d-35ca-08de-0f69bb120260,3733,2025-11-04T09:50:00.000+01:00,,,,NO_ESTIMATE,True,False,CANCELED,Snu,x,Västtågen,3733,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69c73e771d,63533,2025-11-04T09:57:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22R,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69cd178896,73533,2025-11-04T10:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69bb278dc1,3735,2025-11-04T10:20:00.000+01:00,,,,NO_ESTIMATE,True,False,CANCELED,Uv,x,Västtågen,3735,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69cd19eb07,73537,2025-11-04T11:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69394bcc5d,12013,2025-11-04T11:35:00.000+01:00,2025-11-04T11:59:00.000+01:00,2025-11-04T12:00:00.000+01:00,25,DELAYED,False,False,Elfel,Cst,5,VR Snabbtåg,12014,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69c0f90d6e,425,2025-11-04T11:40:00.000+01:00,2025-11-04T11:55:00.000+01:00,2025-11-04T11:50:00.000+01:00,10,DELAYED,False,False,Elfel,Cst,12,SJ Snabbtåg,425,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69aa69aa8a,3044,2025-11-04T11:45:00.000+01:00,2025-11-04T11:51:00.000+01:00,2025-11-04T11:50:00.000+01:00,5,DELAYED,False,False,,Kb,16,Västtågen,3044,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69bfdf2f5f,385,2025-11-04T11:45:00.000+01:00,2025-11-04T12:02:00.000+01:00,2025-11-04T12:04:00.000+01:00,19,DELAYED,False,False,,No.osl,7,Vy Snabbtåg,385,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69b89e782b,3643,2025-11-04T11:55:00.000+01:00,,2025-11-04T11:55:00.000+01:00,0,ON_TIME,False,False,,Än,10,Västtågen,3643,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69c740d98b,63541,2025-11-04T11:57:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22R,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69af2d27d9,3241,2025-11-04T12:00:00.000+01:00,,2025-11-04T12:02:00.000+01:00,2,ON_TIME,False,False,,Vg,9,Västtågen,3241,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f6946a81390,13305,2025-11-04T12:05:00.000+01:00,2025-11-04T12:10:00.000+01:00,2025-11-04T12:11:00.000+01:00,6,DELAYED,False,False,Tågkö,Mst,2,Västtågen,13505,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69cd1c4d20,73541,2025-11-04T12:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,OVERDUE
1500adde-8c5d-35ca-08de-0f69aa8b6f4f,3046,2025-11-04T12:15:00.000+01:00,2025-11-04T12:21:00.000+01:00,2025-11-04T12:23:00.000+01:00,8,DELAYED,False,False,Växelfel,Kb,15,Västtågen,3046,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f692ce2001a,1034,2025-11-04T12:20:00.000+01:00,2025-11-04T12:25:00.000+01:00,2025-11-04T12:25:00.000+01:00,5,DELAYED,False,False,Tågkö,Dk.kh,13,Öresundståg,11034,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69bb573ce2,3743,2025-11-04T12:20:00.000+01:00,2025-11-04T12:25:00.000+01:00,2025-11-04T12:25:00.000+01:00,5,DELAYED,False,False,,Uv,11,Västtågen,3743,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69b8b1afa1,3645,2025-11-04T12:25:00.000+01:00,,2025-11-04T12:27:00.000+01:00,2,ON_TIME,False,False,,Än,10,Västtågen,3645,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69b53cef55,3543,2025-11-04T12:25:00.000+01:00,2025-11-04T12:30:00.000+01:00,2025-11-04T12:29:00.000+01:00,4,DELAYED,False,False,,A,1,Västtågen,3543,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f6954bef9d1,163,2025-11-04T12:30:00.000+01:00,2025-11-04T12:32:00.000+01:00,2025-11-04T12:32:00.000+01:00,2,ON_TIME,False,False,,Cst,7,SJ Regional,163,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69c203f246,484,2025-11-04T12:35:00.000+01:00,,2025-11-04T12:28:00.000+01:00,-7,EARLY,False,False,,Mc,12,SJ Snabbtåg,484,2025-11-04T12:36:22.167338,ARRIVED
1500adde-8c5d-35ca-08de-0f69b71975cd,359,2025-11-04T12:40:00.000+01:00,2025-11-04T12:43:00.000+01:00,,3,DELAYED,False,False,,Ksc,8,SJ Regional,20359,2025-11-04T12:36:22.167338,IMMINENT
1500adde-8c5d-35ca-08de-0f69c1075b8a,427,2025-11-04T12:40:00.000+01:00,2025-11-04T13:20:00.000+01:00,,40,DELAYED,False,False,Elfel,Cst,3,SJ Snabbtåg,427,2025-11-04T12:36:22.167338,IMMINENT
1500adde-8c5d-35ca-08de-0f69aaa0ec70,3048,2025-11-04T12:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3048,2025-11-04T12:36:22.167338,IMMINENT
