"OperationalTrainNumber","ActivityType","FromLocation","ToLocation","TrackAtLocation","TimeAtLocation","InformationOwner","Canceled"
"17399","Ankomst","Vg","G","11","2025-06-15T00:04:00.000+02:00","Västtrafik","False"
"3094","Ankomst","Kb","G","15","2025-06-15T00:16:00.000+02:00","Västtrafik","False"
"3591","Ankomst","A","G","1","2025-06-15T00:21:00.000+02:00","Västtrafik","False"
"","Ankomst","Dk.kh","G","x","","Öresundståg","True"
"3693","Ankomst","Än","G","10","2025-06-15T00:33:00.000+02:00","Västtrafik","False"
"3000","Ankomst","Kb","G","14","2025-06-15T00:49:00.000+02:00","Västtrafik","False"
"3593","Ankomst","A","G","2","2025-06-15T00:54:00.000+02:00","Västtrafik","False"
"17391","Ankomst","Vg","G","9","2025-06-15T01:05:00.000+02:00","Västtrafik","False"
"3002","Ankomst","Kb","G","16","2025-06-15T01:14:00.000+02:00","Västtrafik","False"
"3795","Ankomst","Uv","G","11","2025-06-15T01:26:00.000+02:00","Västtrafik","False"
"","Ankomst","Dk.kh","G","x","","Öresundståg","True"
"3603","Ankomst","Än","G","9","2025-06-15T01:33:00.000+02:00","Västtrafik","False"
"3501","Ankomst","A","G","1","","Västtrafik","False"
"","Ankomst","Lr","G","x","","Västtrafik","False"
"3006","Ankomst","Kb","G","15","2025-06-15T02:15:00.000+02:00","Västtrafik","False"
"","Ankomst","Dk.kh","G","x","","Öresundståg","True"
"17303","Ankomst","Vg","G","9","2025-06-15T02:34:00.000+02:00","Västtrafik","False"
"3505","Ankomst","A","G","1","","Västtrafik","False"
"","Ankomst","Lr","G","x","","Västtrafik","False"
"3010","Ankomst","Kb","G","16","2025-06-15T03:15:00.000+02:00","Västtrafik","False"
"3014","Ankomst","Kb","G","15","2025-06-15T04:21:00.000+02:00","Västtrafik","False"
"3613","Ankomst","Än","G","10","2025-06-15T04:22:00.000+02:00","Västtrafik","False"
"3513","Ankomst","A","G","2","2025-06-15T05:51:00.000+02:00","Västtrafik","False"
"3022","Ankomst","Kb","G","16","2025-06-15T06:14:00.000+02:00","Västtrafik","False"
"17317","Ankomst","Vg","G","9","2025-06-15T06:24:00.000+02:00","Västtrafik","False"
"3521","Ankomst","A","G","2","2025-06-15T06:51:00.000+02:00","Västtrafik","False"
"3026","Ankomst","Kb","G","15","2025-06-15T07:14:00.000+02:00","Västtrafik","False"
"3625","Ankomst","Än","G","9","2025-06-15T07:24:00.000+02:00","Västtrafik","False"
"3525","Ankomst","A","G","2","2025-06-15T07:51:00.000+02:00","Västtrafik","False"
"17323","Ankomst","Vg","G","9","2025-06-15T08:04:00.000+02:00","Västtrafik","False"
"3030","Ankomst","Kb","G","16","2025-06-15T08:14:00.000+02:00","Västtrafik","False"
"","Ankomst","Hb","G","x","","Öresundståg","True"
"3529","Ankomst","A","G","2","2025-06-15T08:51:00.000+02:00","Västtrafik","False"
"3431","Ankomst","Sk","G","3","2025-06-15T08:53:00.000+02:00","Västtrafik","False"
"17327","Ankomst","Vg","G","9","2025-06-15T09:03:00.000+02:00","Västtrafik","False"
