id,page,track,sub,x0,x1,y,arrival_train,departure_train,arrival_time,departure_time,vehicle_count,bar_color,continues_from_prev,continues_to_next,stitched_from
1,1,1,3,27.7,112.0,73.4,3587,3500,00:03,00:24,1,"1.000,0.949,0.584",True,False,
2,1,1,3,163.2,331.7,73.4,23493,3516,00:41,04:22,1,"1.000,0.949,0.584",False,False,25
3,1,2,2,97.2,152.2,100.6,3593,,00:22,00:36,1,"1.000,0.949,0.584",False,False,
4,1,2,3,45.8,467.5,109.6,17399,3220,00:09,05:01,1,"1.000,0.600,0.800",False,False,29
5,1,3,1,247.4,511.2,127.7,,400,01:03,05:14,1,"0.000,1.000,1.000",False,False,31
6,1,3,2,27.7,137.5,136.7,449,,00:03,00:32,1,"0.000,1.000,1.000",True,False,
7,1,3,2,229.2,93.6,136.7,,422,00:58,06:15,1,"0.000,1.000,1.000",False,False,32|68
8,1,4,2,181.4,339.1,163.8,451,,00:45,01:28,1,"0.000,1.000,1.000",False,False,
9,1,4,2,401.4,559.1,163.8,453,,01:47,02:29,1,"0.000,1.000,1.000",False,False,
10,1,4,2,632.3,533.3,163.8,,420,02:49,05:20,1,"0.000,1.000,1.000",False,False,33
11,1,6,2,577.1,603.0,218.2,,164,02:34,05:40,1,"0.000,1.000,1.000",False,False,35
12,1,8,1,210.7,522.4,263.3,20379,20350,00:54,05:16,1,"0.000,1.000,1.000",False,False,38
13,1,8,2,27.7,588.4,272.5,2047,2012,00:03,05:35,1,"0.984,0.769,0.192",True,False,39
14,1,9,2,265.6,295.1,299.6,76241,76242,01:05,01:18,1,"0.878,0.871,0.796",False,False,
15,1,9,2,375.6,320.9,299.6,3603,3616,01:40,04:19,1,"0.800,0.600,1.000",False,False,40
16,1,10,2,82.6,137.5,326.8,,3602,00:17,00:31,1,"0.800,0.600,1.000",False,False,
17,1,10,2,155.9,430.8,326.8,3693,3618,00:39,04:50,1,"0.800,0.600,1.000",False,False,43
18,1,11,2,27.7,100.9,353.9,,481,,06:17,1,"0.000,1.000,1.000",True,False,47|103
19,1,13,2,45.8,46.0,408.0,319,319,00:07,06:02,1,"0.000,1.000,1.000",False,False,49|116
20,1,14,2,45.8,449.0,435.1,19134,11031,00:09,04:55,1,"0.800,1.000,0.800",False,False,51
21,1,15,3,82.6,137.5,471.5,3094,3003,00:18,00:31,1,"0.733,0.710,0.616",False,False,
22,1,16,2,357.4,412.4,498.7,3004,3019,01:35,04:45,1,"0.733,0.710,0.616",False,False,56
23,1,16,3,27.7,522.4,507.6,3092,3021,00:03,05:16,1,"0.733,0.710,0.616",True,False,58
24,2,1,2,496.4,551.8,64.2,,3520,05:10,05:25,1,"1.000,0.949,0.584",False,False,
25,2,1,3,382.9,551.8,73.4,3513,3520,04:40,05:25,1,"1.000,0.949,0.584",False,False,
26,2,1,3,602.9,112.0,73.4,3515,3524,05:42,06:19,1,"1.000,0.949,0.584",False,False,63
27,2,2,2,284.0,401.5,100.6,65245,3518,04:12,04:42,1,"1.000,0.949,0.584",False,False,
28,2,2,3,536.9,621.2,109.6,3517,3522,05:24,05:45,1,"1.000,0.949,0.584",False,False,
29,2,4,2,559.0,313.6,163.8,,424,05:28,07:17,1,"0.000,1.000,1.000",False,False,71
30,2,7,1,577.1,687.2,236.0,3215,3224,05:35,06:03,1,"1.000,0.600,0.800",False,False,
31,2,7,2,551.6,687.2,245.3,93224,3224,05:28,06:03,1,"1.000,0.600,0.800",False,False,
32,2,9,2,559.0,595.7,299.6,3617,13670,05:28,05:40,1,"0.800,0.600,1.000",False,False,
33,2,9,2,687.1,137.5,299.6,3217,3226,06:06,06:27,1,"1.000,0.600,0.800",False,False,90
34,2,10,2,485.6,540.6,326.8,,3620,05:07,05:22,1,"0.800,0.600,1.000",False,False,
35,2,10,2,595.6,650.5,326.8,,3622,05:39,05:53,1,"0.800,0.600,1.000",False,False,
36,2,10,2,668.9,46.0,326.8,3619,13672,06:00,06:02,1,"0.800,0.600,1.000",False,False,92
37,2,12,2,595.6,64.2,381.1,13120,13125,05:41,06:07,1,"0.733,0.710,0.616",False,False,108
38,2,14,1,632.3,687.2,426.2,3020,3175,05:51,06:03,1,"0.733,0.710,0.616",False,False,
39,2,14,2,522.2,687.2,435.1,3018,3175,05:19,06:03,1,"0.733,0.710,0.616",False,False,
40,2,15,2,577.1,632.4,462.3,,3023,05:33,05:48,2,"0.733,0.710,0.616",False,False,
41,2,15,3,503.8,559.1,471.5,,20151,05:13,05:26,1,"0.800,1.000,0.800",False,False,
42,2,16,1,694.4,705.7,489.5,,3025,06:07,,2,"0.733,0.710,0.616",False,True,
43,2,16,2,595.6,669.0,498.7,,11039,05:39,05:58,2,"0.800,1.000,0.800",False,False,
44,2,16,3,687.1,192.7,507.6,3172,3027,06:06,06:42,1,"0.733,0.710,0.616",False,False,146
45,3,1,2,163.2,331.7,64.2,3519,3528,06:37,07:22,2,"1.000,0.949,0.584",False,False,
46,3,1,2,382.9,551.8,64.2,3523,3532,07:40,08:25,2,"1.000,0.949,0.584",False,False,
47,3,1,2,602.9,112.0,64.2,3527,3536,08:42,09:19,2,"1.000,0.949,0.584",False,False,149
48,3,2,3,97.2,181.6,109.6,3521,3526,06:18,06:39,1,"1.000,0.949,0.584",False,False,
49,3,2,3,316.9,401.5,109.6,3525,3530,07:21,07:42,1,"1.000,0.949,0.584",False,False,
50,3,2,3,536.9,621.2,109.6,3529,3534,08:24,08:45,1,"1.000,0.949,0.584",False,False,
51,3,3,1,155.9,533.3,127.7,,426,06:33,08:20,2,"0.000,1.000,1.000",False,False,
52,3,3,2,632.3,82.7,136.7,20351,20356,08:51,09:11,1,"0.000,1.000,1.000",False,False,156
53,3,4,1,331.6,412.4,154.9,3425,13790,07:25,07:45,1,"1.000,0.600,0.800",False,False,
54,3,4,2,331.6,430.8,163.8,3425,,07:25,07:52,1,"1.000,0.800,0.600",False,False,
55,3,4,2,448.9,93.6,163.8,,428,07:57,09:15,1,"0.000,1.000,1.000",False,False,159
56,3,5,1,181.4,236.6,182.0,3423,,06:42,06:56,1,"1.000,0.800,0.600",False,False,
57,3,6,2,111.8,163.3,218.2,3421,3426,06:23,06:34,1,"1.000,0.800,0.600",False,False,
58,3,6,2,247.4,383.0,218.2,,168,07:00,07:37,1,"0.000,1.000,1.000",False,False,
59,3,6,2,401.4,456.4,218.2,3427,,07:45,07:59,1,"1.000,0.800,0.600",False,False,
60,3,6,2,577.1,632.4,218.2,,13734,08:33,08:47,1,"1.000,0.600,0.800",False,False,
61,3,6,2,687.1,82.7,218.2,3229,,09:06,09:13,1,"1.000,0.600,0.800",False,False,162
62,3,7,0,551.6,632.4,227.2,155,,08:27,08:49,2,"0.000,1.000,1.000",False,False,
63,3,7,2,155.9,302.4,245.3,,20352,06:33,07:13,1,"0.000,1.000,1.000",False,False,
64,3,7,2,551.6,163.3,245.3,155,172,08:27,09:34,1,"0.000,1.000,1.000",False,False,166
65,3,8,1,357.4,467.5,263.3,3223,3232,07:32,08:01,1,"1.000,0.600,0.800",False,False,
